Student_ID,Age,GPA,Attendance_Rate,Assignment_Avg,Exam_Score,LMS_Login_Frequency,Video_Engagement_Time,Forum_Interactions,Engagement_Score,Stress_Level_Index,Dropout_Risk
STD00337,23,6.14,56.32,95.02,55.81,22,4.27,8,0.64,0.32,0
STD00338,20,8.54,51.39,75.01,94.37,16,14.16,8,0.36,0.91,0
STD00339,22,5.66,81.14,67.76,61.6,3,8.19,7,0.76,0.19,0
STD00340,20,5.87,90.34,89.1,83.64,15,12.55,11,0.79,0.69,0
STD00341,19,7.86,92.1,81.0,42.38,14,5.79,7,0.41,0.81,0
STD00342,23,5.18,74.14,51.01,51.09,15,1.95,2,0.48,0.42,0
STD00343,24,9.38,88.87,89.26,87.48,14,10.27,12,0.99,0.96,0
STD00344,20,7.12,83.64,65.73,84.59,7,0.61,18,0.5,0.87,0
STD00345,18,6.69,86.21,51.34,60.1,3,7.39,1,0.81,0.37,0
STD00346,19,7.35,74.63,56.91,97.04,17,3.3,16,0.56,0.11,0
STD00347,17,5.0,81.67,56.05,94.19,10,9.6,15,0.83,0.37,0
STD00348,24,7.68,90.28,71.15,97.55,15,14.7,3,0.82,0.35,0
STD00349,19,6.18,69.89,54.06,62.81,6,7.23,17,0.73,0.9,0
STD00350,23,9.38,90.3,47.41,47.84,17,12.35,13,0.88,0.97,0
STD00351,21,5.01,79.6,47.42,75.73,17,7.86,1,0.95,0.16,0
STD00352,21,7.04,58.3,75.0,79.51,14,7.69,12,0.66,0.52,0
STD00353,23,7.59,51.23,84.09,43.15,24,13.99,19,0.39,0.59,0
STD00354,25,4.2,68.14,59.29,86.12,18,13.4,16,0.52,0.18,0
STD00355,21,6.18,77.33,42.08,36.17,5,11.89,14,0.81,0.44,0
STD00356,17,8.4,91.99,47.63,66.38,8,4.8,19,0.72,0.39,0
STD00357,17,8.92,56.37,94.88,56.52,7,8.4,4,0.34,0.58,0
STD00358,18,5.88,90.01,69.61,83.12,23,3.75,6,0.24,0.7,0
STD00359,22,8.79,93.15,67.21,55.33,4,6.94,17,0.75,0.73,0
STD00360,25,9.81,57.53,42.28,88.74,18,7.52,10,0.4,0.22,0
STD00361,24,9.14,92.58,83.72,73.67,5,12.56,17,0.6,0.83,0
STD00362,21,4.71,99.57,71.68,86.6,16,13.49,4,0.8,0.71,0
STD00363,17,8.44,86.34,52.12,99.31,14,6.51,12,0.65,0.9,0
STD00364,23,5.92,89.24,46.6,79.15,19,0.76,17,0.27,0.5,0
STD00365,21,9.93,99.72,63.0,99.02,14,13.0,1,0.35,0.9,0
STD00366,22,6.91,80.27,90.23,36.87,9,3.03,19,0.38,0.88,0
STD00367,23,4.73,65.39,91.92,56.98,6,9.52,3,0.41,0.49,1
STD00368,19,8.35,91.88,76.17,42.01,17,0.86,12,0.65,0.44,0
STD00369,19,5.94,80.72,83.65,52.05,19,6.29,15,0.6,0.94,0
STD00370,21,9.98,79.06,46.91,89.53,12,14.8,5,0.36,0.74,0
STD00371,22,9.88,62.68,75.29,37.1,4,1.96,7,0.25,0.94,0
STD00372,25,7.94,87.82,80.02,68.81,16,6.64,15,0.34,0.82,0
STD00373,21,4.78,54.08,52.04,71.86,11,4.95,12,0.99,0.65,0
STD00374,17,8.12,96.21,92.81,71.47,22,13.62,3,0.57,0.2,0
STD00375,20,4.56,66.29,51.7,65.89,4,13.11,1,0.89,0.36,0
STD00376,21,4.18,56.39,58.81,86.39,17,3.95,8,0.88,0.97,0
STD00377,21,8.94,72.12,77.23,43.68,8,1.68,17,0.61,0.39,0
STD00378,23,5.26,52.12,78.3,55.19,14,9.59,16,0.77,0.18,0
STD00379,20,6.27,84.23,81.96,75.02,2,5.38,7,0.35,0.74,0
STD00380,17,9.84,95.14,46.72,79.91,11,10.25,14,0.75,0.76,0
STD00381,21,6.02,91.86,90.97,61.27,11,0.97,8,0.42,0.36,0
STD00382,23,5.78,56.37,71.97,91.9,24,2.43,16,0.87,0.37,0
STD00383,22,9.51,56.31,68.28,62.01,22,10.45,1,0.27,0.52,0
STD00384,21,4.66,90.67,98.87,61.18,24,3.58,5,0.82,0.12,0
STD00385,20,8.56,96.21,84.42,37.35,6,12.94,4,0.28,0.81,0
STD00386,18,9.93,73.03,47.08,70.82,21,1.35,16,0.9,0.39,0
STD00387,20,9.41,74.95,85.39,81.06,21,3.62,1,0.44,0.87,0
STD00388,19,7.91,65.91,45.71,42.44,14,14.98,17,0.72,0.82,0
STD00389,17,5.88,94.71,41.65,54.85,10,6.78,9,0.59,0.7,0
STD00390,24,5.53,82.25,64.22,85.78,8,10.69,9,0.49,0.39,0
STD00391,21,8.92,64.41,99.61,58.78,7,3.15,5,0.72,0.56,0
STD00392,20,9.28,64.94,50.49,50.7,8,9.34,11,0.96,0.5,0
STD00393,24,7.15,94.56,80.36,78.69,8,11.03,16,0.23,0.4,0
STD00394,23,5.47,50.68,50.4,47.79,23,5.06,12,0.94,0.86,0
STD00395,18,4.68,66.14,83.49,93.22,2,12.52,19,0.69,0.54,0
STD00396,17,4.52,77.72,70.32,41.86,16,9.25,15,0.85,0.85,0
STD00397,20,8.31,57.41,80.8,80.93,9,6.14,9,0.51,0.19,0
STD00398,24,6.52,54.6,52.17,67.47,13,8.59,1,0.58,0.23,0
STD00399,18,9.43,90.76,84.74,91.55,23,8.86,1,0.9,0.98,0
STD00400,19,8.44,94.72,99.74,43.2,12,2.9,6,0.53,0.63,0
STD00401,17,5.15,91.18,79.94,79.06,22,6.34,5,0.63,0.56,0
STD00402,17,7.68,94.94,69.61,72.18,17,5.48,0,0.22,0.57,0
STD00403,19,6.61,77.66,95.39,66.21,2,6.31,11,0.33,0.29,0
STD00404,21,7.46,90.61,40.95,66.94,13,11.54,12,0.71,0.75,0
STD00405,19,8.43,69.2,83.8,81.93,1,7.5,11,0.77,0.18,0
STD00406,17,8.84,83.31,93.32,95.95,19,14.13,18,0.67,0.62,0
STD00407,17,9.06,99.44,43.7,40.93,11,4.76,8,0.31,0.61,0
STD00408,24,5.52,61.29,67.0,36.27,5,6.53,9,0.56,0.92,0
STD00409,18,4.19,69.49,52.28,87.37,1,11.91,16,0.48,0.57,1
STD00410,19,8.44,74.0,73.99,42.03,20,8.42,17,0.6,0.22,0
STD00411,18,4.64,56.9,78.97,99.14,13,8.43,7,0.9,0.62,0
STD00412,19,5.89,54.05,58.16,75.26,8,1.27,6,0.82,0.18,0
STD00413,23,4.02,91.49,67.6,77.31,6,6.28,8,0.27,0.28,0
STD00414,17,8.09,98.84,56.76,47.93,17,4.43,9,0.91,0.13,0
STD00415,24,5.0,70.24,62.16,50.62,12,14.99,11,0.58,0.56,0
STD00416,18,7.93,54.38,49.57,77.86,1,4.97,14,0.8,0.18,0
STD00417,19,9.95,53.29,93.13,94.13,3,13.33,14,0.31,0.52,0
STD00418,25,4.44,94.57,40.6,98.86,14,10.31,3,0.74,0.94,0
STD00419,23,4.46,73.19,92.94,47.87,8,5.44,3,0.39,0.75,0
STD00420,20,6.04,66.0,74.3,43.72,11,8.38,0,0.55,0.17,0
STD00421,21,9.2,73.82,59.9,38.67,14,12.69,11,0.21,0.3,0
STD00422,18,5.29,65.92,83.38,91.44,8,13.31,1,0.32,0.71,1
STD00423,24,6.16,74.45,70.47,54.16,3,2.83,14,0.27,0.91,0
STD00424,20,4.41,92.98,69.95,35.12,7,5.42,16,0.39,0.13,0
STD00425,25,8.58,79.62,46.61,49.55,19,5.36,6,0.28,0.83,0
STD00426,21,6.45,84.73,63.37,57.13,4,1.11,5,0.75,0.61,0
STD00427,25,8.56,68.23,54.46,99.41,16,9.17,11,0.22,0.59,0
STD00428,20,9.42,86.93,40.94,69.03,13,12.89,18,0.69,0.96,0
STD00429,21,5.4,83.33,61.61,48.31,20,6.03,0,0.31,0.77,0
STD00430,25,8.84,55.98,45.39,56.76,19,11.23,13,0.96,0.87,0
STD00431,24,4.35,78.63,55.41,56.47,5,9.6,3,0.95,0.42,0
STD00432,19,9.39,62.84,45.55,36.28,23,5.95,4,0.38,0.6,0
STD00433,17,7.9,90.2,46.06,43.79,5,2.55,0,0.69,0.65,0
STD00434,19,9.25,71.3,51.94,80.19,20,10.79,0,0.22,0.39,0
STD00435,20,4.0,99.73,99.99,42.82,24,12.89,5,0.95,0.61,0
STD00436,18,5.01,54.63,40.13,50.0,4,10.44,4,0.62,0.31,0
STD00437,17,6.34,89.02,78.32,57.8,2,0.76,1,0.23,0.23,0
STD00438,23,6.28,83.69,48.47,84.25,13,3.64,4,0.47,0.44,0
STD00439,24,5.36,88.37,95.24,72.86,16,1.51,8,0.26,0.77,0
STD00440,23,6.29,65.38,45.62,79.78,22,8.77,18,0.51,0.92,0
STD00441,21,4.77,74.6,97.3,71.86,2,11.47,14,0.74,0.51,0
STD00442,17,6.48,89.83,76.66,79.43,19,2.1,12,0.58,0.68,0
STD00443,23,8.81,61.63,40.08,35.18,17,12.66,11,0.51,0.19,0
STD00444,23,6.87,61.3,93.64,95.51,5,8.55,4,0.3,0.91,0
STD00445,25,4.11,77.55,71.3,42.21,18,10.5,1,0.4,0.61,0
STD00446,19,6.53,76.18,55.76,61.41,23,14.59,3,0.28,0.8,0
STD00447,25,4.16,64.11,86.04,85.12,21,1.71,17,0.85,0.81,0
STD00448,17,9.8,64.9,95.6,63.29,18,13.57,9,0.31,0.33,0
STD00449,17,4.76,63.89,69.02,96.54,8,2.33,12,0.68,0.58,0
STD00450,20,8.25,88.58,58.93,65.39,15,6.2,11,0.47,0.96,0
STD00451,25,9.84,82.6,87.34,91.87,13,12.85,1,0.38,0.18,0
STD00452,22,8.96,91.62,80.91,87.7,13,13.64,14,0.71,0.71,0
STD00453,19,8.2,98.77,93.33,98.76,16,7.84,13,0.57,0.97,0
STD00454,17,9.04,73.71,81.55,95.23,22,9.11,9,0.52,0.37,0
STD00455,20,9.89,53.33,54.61,93.38,20,10.77,7,0.67,0.88,0
STD00456,25,7.73,52.4,95.9,82.55,13,12.58,14,0.59,0.94,0
STD00457,19,7.36,64.78,46.29,58.85,20,2.26,12,0.44,0.77,0
STD00458,25,7.77,96.63,56.08,41.9,2,12.25,7,0.65,0.31,0
STD00459,23,7.2,76.16,71.21,79.76,3,7.48,13,0.74,0.4,0
STD00460,20,7.81,63.59,73.94,98.61,15,7.03,0,0.22,0.13,0
STD00461,19,6.7,69.96,40.92,82.23,23,6.65,12,0.57,0.85,0
STD00462,21,5.31,79.93,86.83,95.37,19,7.88,7,0.25,0.86,0
STD00463,21,4.72,82.65,61.7,87.28,13,14.2,17,0.35,0.67,0
STD00464,19,4.41,57.7,64.39,45.6,5,8.45,8,0.65,0.42,0
STD00465,25,5.58,98.85,88.56,51.2,22,14.32,12,0.89,0.17,0
STD00466,20,4.28,77.24,62.76,57.22,6,3.11,2,0.91,0.78,0
STD00467,21,7.4,56.78,42.83,45.94,14,11.0,17,0.26,0.75,0
STD00468,20,5.7,94.68,50.59,72.81,4,12.28,9,0.54,0.92,0
STD00469,21,8.95,53.73,97.35,98.4,22,10.35,4,0.67,0.76,0
STD00470,23,4.45,95.39,44.22,84.49,19,9.3,5,0.32,0.85,0
STD00471,25,5.36,99.83,61.3,62.52,23,8.69,7,0.81,0.77,0
STD00472,23,8.38,85.02,70.19,35.29,7,12.98,6,0.8,0.67,0
STD00473,21,7.59,88.52,69.6,55.36,4,12.41,17,0.92,0.48,0
STD00474,23,4.39,66.87,40.24,69.24,2,2.27,13,0.21,0.91,1
STD00475,21,9.26,97.08,70.07,56.08,7,12.8,14,0.37,0.69,0
STD00476,19,9.26,76.49,63.03,42.22,3,6.5,9,0.86,0.46,0
STD00477,23,5.98,86.62,98.32,63.78,15,4.18,11,0.74,0.18,0
STD00478,18,6.04,96.21,49.55,51.46,1,13.11,6,0.92,0.36,0
STD00479,25,9.93,98.76,61.25,94.1,2,6.76,6,0.25,0.59,0
STD00480,17,7.76,91.66,65.17,41.61,10,12.22,10,0.68,0.35,0
STD00481,22,7.19,65.15,63.44,38.19,16,4.32,12,0.66,0.3,0
STD00482,23,9.03,98.33,79.95,35.35,15,0.56,14,0.23,0.57,0
STD00483,24,5.71,81.41,52.93,56.32,24,7.68,17,0.61,0.25,0
STD00484,25,6.58,96.53,53.26,77.93,15,1.95,6,0.69,0.82,0
STD00485,18,5.61,83.81,83.75,82.48,14,11.44,5,0.35,0.54,0
STD00486,18,8.73,65.36,70.02,64.46,22,4.5,10,0.42,0.62,0
STD00487,21,7.44,68.5,64.91,79.48,14,6.93,7,0.71,0.23,0
STD00488,21,7.95,77.52,50.15,58.39,6,1.76,19,0.57,0.39,0
STD00489,22,5.51,89.5,51.25,78.41,14,4.66,0,0.89,0.47,0
STD00490,19,5.32,65.9,40.63,37.64,17,11.83,7,0.47,0.83,1
STD00491,24,6.93,78.99,45.49,60.4,18,2.7,7,0.41,0.79,0
STD00492,17,8.43,67.28,73.41,86.41,20,9.88,18,0.99,0.3,0
STD00493,22,7.15,90.79,93.51,87.2,19,13.8,2,0.93,0.65,0
STD00494,20,4.2,73.34,57.23,81.55,17,10.36,4,0.22,0.32,0
STD00495,17,9.21,53.84,59.66,48.28,16,12.26,2,0.82,0.99,0
STD00496,23,4.39,58.3,46.94,51.07,8,2.08,14,0.29,0.96,1
STD00497,25,9.73,53.06,63.32,99.75,7,4.14,13,0.22,0.61,0
STD00498,20,4.15,74.97,42.23,41.72,20,13.47,14,0.42,0.73,0
STD00499,20,8.17,55.32,95.06,46.74,12,10.87,16,0.42,0.82,0
STD00500,22,4.49,55.71,80.39,43.45,9,9.77,17,0.86,0.75,0
STD00501,19,9.46,97.05,99.44,56.3,14,10.12,1,0.77,0.73,0
STD00502,22,6.79,93.63,92.97,48.66,20,6.51,11,0.99,0.96,0
STD00503,23,4.83,72.6,68.38,67.35,1,1.15,15,0.77,0.64,0
STD00504,19,6.04,99.29,71.18,65.94,10,11.87,3,0.53,0.67,0
STD00505,23,4.99,50.01,51.43,93.6,17,10.34,1,0.76,0.86,0
STD00506,19,5.02,80.7,67.72,37.26,17,7.36,13,1.0,0.7,0
STD00507,18,9.69,80.82,94.18,55.79,17,13.55,10,0.77,0.76,0
STD00508,20,6.67,72.87,43.05,73.78,4,5.37,12,0.81,0.31,0
STD00509,24,8.73,69.85,91.81,74.31,17,4.77,6,0.95,0.43,0
STD00510,25,7.84,72.77,60.46,66.21,18,13.16,9,0.29,0.23,0
STD00511,23,8.06,70.75,93.97,88.02,20,12.06,0,0.76,0.56,0
STD00512,17,4.79,86.52,96.45,39.08,23,7.97,3,0.88,0.51,0
STD00513,19,5.41,56.77,80.25,88.01,2,2.4,17,0.96,1.0,0
STD00514,25,8.72,59.88,79.87,67.16,8,3.62,5,0.37,0.65,0
STD00515,17,9.82,59.03,67.17,43.69,13,10.02,1,0.6,0.81,0
STD00516,25,5.58,63.12,90.13,92.57,23,6.08,2,0.74,0.4,0
STD00517,24,5.63,76.26,97.7,77.2,22,12.63,13,0.4,0.85,0
STD00518,17,6.84,55.56,86.5,45.63,20,14.27,7,0.68,0.65,0
STD00519,22,9.9,93.41,77.32,37.19,22,12.18,15,0.41,0.73,0
STD00520,21,5.61,64.87,76.41,44.17,15,5.97,18,0.47,0.36,1
STD00521,22,6.44,58.13,90.97,74.57,20,11.94,17,0.55,0.59,0
STD00522,21,9.35,83.78,72.47,46.65,23,5.6,5,0.62,0.67,0
STD00523,22,4.02,51.9,88.23,49.67,9,2.92,13,0.56,0.63,0
STD00524,21,4.24,81.0,70.53,36.63,3,0.98,2,0.59,0.92,0
STD00525,21,7.62,84.91,43.75,81.99,3,6.09,15,0.44,0.91,0
STD00526,20,9.44,60.75,63.04,87.67,2,13.6,0,0.33,0.97,0
STD00527,19,5.43,52.1,66.67,86.8,1,3.97,11,0.24,0.7,1
STD00528,19,6.82,68.18,48.5,43.29,14,3.49,13,0.36,0.97,0
STD00529,20,6.7,54.93,46.15,93.71,17,14.56,18,0.67,0.85,0
STD00530,25,6.84,55.82,72.13,78.7,13,0.86,18,0.83,0.34,0
STD00531,18,7.74,62.71,45.11,93.34,19,11.89,8,0.34,0.48,0
STD00532,25,6.82,64.77,58.18,64.07,23,5.16,6,0.29,0.31,0
STD00533,17,6.68,76.5,84.68,63.4,15,1.04,13,0.8,0.1,0
STD00534,17,6.85,83.92,97.87,85.99,14,13.81,4,0.44,0.27,0
STD00535,21,7.55,79.64,83.07,41.06,2,2.52,17,0.96,0.1,0
STD00536,22,7.22,57.42,99.56,68.86,7,8.5,8,0.77,0.75,0
STD00537,22,9.12,58.6,81.9,89.36,17,4.47,6,0.46,0.48,0
STD00538,19,4.3,93.94,57.63,88.96,18,1.45,8,0.43,0.38,0
STD00539,23,9.0,77.92,80.32,97.15,6,1.22,3,0.62,0.79,0
STD00540,25,9.06,93.5,82.13,80.39,21,2.18,16,0.26,0.85,0
STD00541,24,5.71,68.58,62.3,48.51,8,1.53,11,0.29,0.98,1
STD00542,22,6.78,80.72,41.06,36.32,2,11.53,5,0.34,0.68,0
STD00543,24,6.63,76.18,82.19,66.16,1,7.54,17,0.82,0.52,0
STD00544,21,5.31,65.96,41.3,68.39,16,5.47,7,0.61,0.37,0
STD00545,24,6.38,73.5,77.87,50.62,7,6.57,14,0.21,0.3,0
STD00546,20,4.27,75.12,49.82,43.11,22,13.97,2,0.74,0.29,0
STD00547,24,5.67,60.04,73.94,73.1,24,13.71,1,0.54,0.47,0
STD00548,18,8.9,65.75,70.23,84.68,11,10.88,8,0.61,0.99,0
STD00549,21,5.71,89.57,40.81,99.56,15,13.33,7,0.37,0.1,0
STD00550,25,8.91,95.79,61.77,84.29,13,5.13,3,0.64,0.28,0
STD00551,20,7.19,67.99,76.07,86.59,24,6.03,1,0.98,0.27,0
STD00552,22,9.28,65.35,90.92,75.07,2,9.4,13,0.26,0.75,0
STD00553,17,7.45,59.76,93.32,99.08,14,9.54,1,0.43,0.42,0
STD00554,25,4.18,83.92,69.03,76.6,24,7.48,1,0.39,0.51,0
STD00555,17,8.05,66.15,83.71,90.92,6,6.31,6,0.4,0.23,0
STD00556,21,4.27,99.39,58.99,96.48,9,14.8,11,0.5,0.46,0
STD00557,20,6.7,66.28,60.53,95.44,7,12.41,5,0.85,0.19,0
STD00558,19,9.58,69.71,51.67,59.79,18,6.81,17,0.93,0.58,0
STD00559,22,4.99,80.17,73.72,40.11,24,11.05,3,0.36,0.19,0
STD00560,18,6.34,90.08,58.87,46.17,9,4.41,18,0.63,0.81,0
STD00561,19,8.38,73.48,45.06,38.85,23,1.95,12,0.71,0.61,0
STD00562,21,9.29,71.13,81.1,41.85,4,5.61,19,0.62,0.75,0
STD00563,25,8.03,99.78,82.47,47.0,9,6.34,1,0.55,0.48,0
STD00564,18,5.55,50.52,61.6,57.17,4,0.74,7,0.35,0.44,1
STD00565,24,8.05,94.75,44.6,70.33,12,12.31,18,0.59,0.19,0
STD00566,18,5.78,57.46,65.58,81.26,4,5.71,8,0.52,0.57,0
STD00567,21,8.31,89.3,66.54,48.71,24,8.92,3,0.84,0.56,0
STD00568,23,9.72,80.9,80.12,78.71,20,1.57,15,0.81,0.52,0
STD00569,24,8.33,67.09,58.92,80.78,14,3.04,18,0.31,0.77,0
STD00570,17,9.18,93.69,80.96,71.31,24,13.4,9,0.27,0.85,0
STD00571,22,4.01,50.65,92.29,93.74,24,9.33,5,0.93,0.78,0
STD00572,17,8.31,61.33,54.25,42.21,7,14.28,15,0.63,0.23,0
STD00573,18,8.98,78.34,98.74,46.51,13,14.98,9,0.89,0.66,0
STD00574,17,4.24,67.58,63.18,62.86,22,5.89,12,0.25,0.17,1
STD00575,21,9.23,80.52,56.04,43.24,8,4.83,8,0.62,0.73,0
STD00576,25,5.54,51.21,65.29,71.81,23,12.95,6,0.63,0.44,0
STD00577,22,7.99,55.82,45.66,60.9,5,14.98,3,0.89,0.22,0
STD00578,17,8.8,56.35,47.54,53.5,12,9.63,18,0.28,0.88,0
STD00579,17,7.98,59.46,64.87,46.05,13,12.03,3,0.39,0.65,0
STD00580,18,4.55,72.97,85.75,56.8,20,11.84,18,0.53,0.42,0
STD00581,25,7.58,87.61,94.02,74.52,14,5.65,18,0.89,0.13,0
STD00582,19,7.3,95.28,79.89,72.43,18,8.83,11,0.95,0.58,0
STD00583,17,9.4,91.77,46.31,45.64,24,12.58,12,0.99,0.93,0
STD00584,21,6.43,59.84,80.32,43.12,20,10.48,3,0.97,0.64,0
STD00585,23,5.93,72.06,78.13,36.73,4,0.81,9,0.2,0.97,0
STD00586,22,8.5,59.97,88.35,35.81,21,5.38,6,0.24,0.22,0
STD00587,17,6.48,63.22,89.51,92.19,18,2.59,4,0.32,0.61,0
STD00588,21,7.88,75.18,92.09,37.93,7,3.88,16,0.48,0.82,0
STD00589,21,7.88,53.41,64.85,82.53,15,13.63,17,0.86,0.57,0
STD00590,22,9.33,60.91,81.87,91.68,21,1.03,10,0.91,0.18,0
STD00591,19,7.59,96.77,56.1,41.37,6,3.69,14,0.35,0.62,0
STD00592,21,7.01,73.31,99.96,63.36,16,4.99,6,0.7,0.65,0
STD00593,23,4.83,72.27,50.52,97.55,20,9.44,17,0.93,0.76,0
STD00594,21,4.69,50.73,40.61,89.22,24,8.24,5,0.57,0.79,0
STD00595,21,4.93,62.37,48.93,66.83,8,3.66,17,0.28,0.79,1
STD00596,21,5.03,93.31,86.55,84.57,21,2.88,15,0.57,0.7,0
STD00597,19,7.83,58.23,66.81,89.17,16,3.93,1,0.5,0.29,0
STD00598,17,8.45,70.76,66.85,57.62,22,7.79,18,0.66,0.46,0
STD00599,21,7.18,50.72,97.3,92.99,16,4.43,0,0.55,0.8,0
STD00600,25,8.97,73.92,95.18,65.58,3,14.24,10,0.21,0.96,0
STD00601,17,9.95,51.05,58.67,69.31,17,7.23,19,1.0,0.17,0
STD00602,19,8.92,90.98,52.54,99.98,9,1.35,4,0.63,0.58,0
STD00603,20,8.17,91.24,90.91,89.81,3,11.07,15,0.58,0.38,0
STD00604,17,7.19,89.39,94.36,58.52,20,5.27,0,0.96,0.3,0
STD00605,17,6.69,64.17,72.5,35.67,7,9.98,18,0.32,0.56,0
STD00606,24,4.51,91.86,77.77,75.7,18,4.55,13,0.35,0.65,0
STD00607,18,6.4,77.15,55.41,80.75,12,8.78,2,0.85,0.11,0
STD00608,24,9.46,68.69,88.05,77.3,19,11.7,1,0.41,0.8,0
STD00609,23,8.85,81.27,77.93,97.91,16,13.96,4,0.84,0.84,0
STD00610,18,5.3,50.62,70.21,91.09,22,4.29,16,0.42,0.97,1
STD00611,22,6.8,57.15,43.61,64.17,24,5.36,17,0.23,0.26,0
STD00612,22,8.9,87.11,94.96,39.09,17,7.23,0,0.61,0.64,0
STD00613,19,4.4,62.21,76.93,65.94,20,13.94,14,0.36,0.48,1
STD00614,18,6.32,79.9,51.56,79.8,15,13.57,8,0.81,0.4,0
STD00615,17,9.11,69.26,76.38,74.5,1,1.8,4,0.71,0.61,0
STD00616,22,6.42,92.74,80.65,69.98,2,2.41,12,0.94,0.8,0
STD00617,21,4.47,97.62,71.55,65.47,8,7.68,18,0.83,0.12,0
STD00618,25,7.26,94.18,83.09,54.09,22,2.05,9,0.34,0.97,0
STD00619,17,9.17,63.53,74.89,53.03,2,5.51,19,0.84,0.83,0
STD00620,23,7.54,59.71,96.87,67.52,19,2.65,13,0.71,0.78,0
STD00621,21,5.36,73.72,43.22,45.44,9,9.72,11,0.74,0.78,0
STD00622,21,6.31,50.37,46.37,57.14,9,14.27,10,0.87,0.45,0
STD00623,18,6.7,51.29,50.42,56.06,13,14.95,6,0.66,0.78,0
STD00624,19,7.48,77.66,81.41,73.16,6,5.94,16,0.57,0.45,0
STD00625,23,8.56,76.02,78.74,39.33,15,9.19,17,0.71,0.91,0
STD00626,22,4.59,99.73,93.52,88.93,19,12.92,6,0.44,0.26,0
STD00627,18,9.34,60.09,83.97,71.55,21,2.2,19,0.35,0.36,0
STD00628,22,4.07,62.91,70.5,78.6,15,10.5,5,0.69,0.6,0
STD00629,18,6.22,55.68,99.51,80.7,18,6.43,10,0.39,0.39,0
STD00630,18,4.16,95.88,55.97,53.95,7,3.49,11,0.26,0.48,0
STD00631,18,6.36,88.89,89.99,65.57,11,6.34,15,0.2,0.54,0
STD00632,19,7.15,91.12,65.61,97.16,8,1.6,18,0.69,0.87,0
STD00633,18,7.07,95.14,78.92,84.84,6,10.58,18,0.49,0.57,0
STD00634,20,4.99,76.24,83.64,98.02,8,4.16,10,0.8,0.43,0
STD00635,25,7.87,72.56,78.03,83.51,2,5.02,15,0.5,0.32,0
STD00636,22,4.27,66.52,48.43,46.41,19,2.26,11,0.59,0.47,0
STD00637,17,8.57,79.46,66.58,39.19,16,13.04,7,0.53,0.56,0
STD00638,24,9.68,72.71,73.69,72.55,7,7.65,2,0.72,0.77,0
STD00639,23,6.04,72.58,90.94,58.26,10,8.8,1,0.48,0.21,0
STD00640,19,7.1,96.85,66.62,52.9,12,8.76,5,0.97,0.3,0
STD00641,17,6.27,99.2,95.12,87.47,17,6.45,15,0.95,0.44,0
STD00642,21,4.04,89.82,66.42,58.85,7,3.29,19,0.88,0.42,0
STD00643,20,6.32,87.84,72.93,55.61,22,11.3,14,0.94,0.45,0
STD00644,24,8.75,84.03,87.78,90.25,8,2.34,13,0.56,0.81,0
STD00645,17,7.58,58.3,74.98,90.01,7,2.01,1,0.63,0.39,0
STD00646,17,4.61,52.96,97.61,58.16,4,10.8,19,0.79,0.55,0
STD00647,20,9.08,84.54,79.62,89.11,3,3.53,17,0.76,0.66,0
STD00648,24,7.19,86.44,71.36,90.3,19,4.95,13,0.91,0.31,0
STD00649,21,9.05,52.35,41.42,62.56,15,7.39,17,0.77,0.75,0
STD00650,18,7.48,96.4,64.82,39.32,4,7.02,1,1.0,0.59,0
STD00651,22,7.36,54.56,57.95,35.1,9,10.77,0,0.48,0.5,0
STD00652,21,4.63,64.3,84.89,69.01,13,9.54,19,0.87,0.83,0
STD00653,18,5.0,83.62,52.5,57.36,18,9.84,1,0.76,0.32,0
STD00654,19,9.83,58.49,52.31,99.81,21,10.85,8,0.75,0.89,0
STD00655,25,5.37,52.77,51.37,85.21,16,4.74,8,0.46,0.6,1
STD00656,23,9.86,66.56,47.54,84.48,1,5.17,15,0.83,0.65,0
STD00657,23,7.19,88.3,58.66,97.09,4,6.85,10,0.92,0.89,0
STD00658,22,4.81,70.68,93.16,92.7,18,4.96,5,0.37,0.84,0
STD00659,24,4.6,82.65,86.5,55.68,8,14.78,11,0.7,0.64,0
STD00660,20,5.25,78.98,84.12,45.79,20,12.3,2,0.51,0.78,0
STD00661,24,9.55,51.11,87.84,83.48,16,2.89,11,0.99,0.49,0
STD00662,20,6.48,99.43,56.17,59.59,21,0.58,0,0.58,0.59,0
STD00663,24,6.37,52.07,93.25,65.76,11,1.12,8,0.38,0.16,0
STD00664,25,5.88,98.39,48.24,75.98,20,4.04,19,0.51,0.18,0
STD00665,19,4.88,77.49,60.18,94.01,21,2.16,5,0.72,0.85,0
STD00666,19,6.93,98.16,75.2,62.24,21,8.23,10,0.26,0.15,0
STD00667,18,4.78,55.74,46.17,85.92,21,12.94,2,0.68,0.25,0
STD00668,19,9.01,74.52,83.81,52.44,19,11.18,3,0.94,0.82,0
STD00669,19,6.22,58.48,63.23,80.37,23,3.63,9,0.88,0.1,0
STD00670,21,6.25,52.55,87.06,35.1,19,6.29,18,0.25,0.35,0
STD00671,21,6.84,80.88,69.57,91.65,18,7.86,5,0.99,0.63,0
STD00672,18,6.66,60.39,50.85,36.97,19,12.25,0,0.76,0.64,0
STD00673,22,9.97,79.38,84.09,81.33,11,12.67,7,0.33,0.8,0
STD00674,21,7.27,55.62,55.13,38.01,3,13.69,7,0.21,0.56,0
STD00675,22,4.53,66.6,69.45,52.31,8,7.88,5,0.34,0.56,1
